Received Log:

[9 jul. 2022 11:39:57 a. m.] ASCII:
#---INICIO DATOS---#
Visualiti;UNIX;RG1
ID;UXTIME;mm
M146;1654931091;0.2
M146;1654931896;0.2
M146;1654932174;0.2
M146;1654932368;0.2
M146;1654932586;0.2
M146;1654932851;0.2
M146;1654933513;0.2
M146;1654943545;0.2
M146;1654943660;0.2
M146;1654943789;0.2
M146;1654943902;0.2
M146;1654944032;0.2
M146;1654944482;0.2
M146;1654944708;0.2
M146;1654945306;0.2
M146;1654945723;0.2
M146;1654946107;0.2
M146;1654946361;0.2
M146;1654946604;0.2
M146;1654946984;0.2
M146;1654954601;0.2
M146;1654986987;0.2
M146;1654987768;0.2
M146;1654989190;0.2
M146;1654990650;0.2
M146;1654991197;0.2
M146;1654991554;0.2
M146;1654991801;0.2
M146;1654992002;0.2
M146;1654992203;0.2
M146;1654992397;0.2
M146;1654992602;0.2
M146;1654992874;0.2
M146;1654993374;0.2
M146;1654993783;0.2
M146;1654996258;0.2
M146;1655039367;0.2
M146;1655039397;0.2
M146;1655039533;0.2
M146;1655057820;0.2
M146;1655057901;0.2
M146;1655057951;0.2
M146;1655057991;0.2
M146;1655058013;0.2
M146;1655058035;0.2
M146;1655058063;0.2
M146;1655058102;0.2
M146;1655058165;0.2
M146;1655058218;0.2
M146;1655058288;0.2
M146;1655058345;0.2
M146;1655058424;0.2
M146;1655058483;0.2
M146;1655058553;0.2
M146;1655058676;0.2
M146;1655058733;0.2
M146;1655058755;0.2
M146;1655058774;0.2
M146;1655058799;0.2
M146;1655058824;0.2
M146;1655058863;0.2
M146;1655058922;0.2
M146;1655058970;0.2
M146;1655059030;0.2
M146;1655059106;0.2
M146;1655059151;0.2
M146;1655059213;0.2
M146;1655059263;0.2
M146;1655059317;0.2
M146;1655059370;0.2
M146;1655059425;0.2
M146;1655059490;0.2
M146;1655059532;0.2
M146;1655059576;0.2
M146;1655059612;0.2
M146;1655059661;0.2
M146;1655059722;0.2
M146;1655059788;0.2
M146;1655059853;0.2
M146;1655059899;0.2
M146;1655059954;0.2
M146;1655060003;0.2
M146;1655060057;0.2
M146;1655060134;0.2
M146;1655060230;0.2
M146;1655060303;0.2
M146;1655060372;0.2
M146;1655060419;0.2
M146;1655060452;0.2
M146;1655060475;0.2
M146;1655060500;0.2
M146;1655060527;0.2
M146;1655060560;0.2
M146;1655060598;0.2
M146;1655060640;0.2
M146;1655060684;0.2
M146;1655060729;0.2
M146;1655060769;0.2
M146;1655060806;0.2
M146;1655060842;0.2
M146;1655060882;0.2
M146;1655060918;0.2
M146;1655060971;0.2
M146;1655061034;0.2
M146;1655061084;0.2
M146;1655061128;0.2
M146;1655061176;0.2
M146;1655061228;0.2
M146;1655061300;0.2
M146;1655061345;0.2
M146;1655061374;0.2
M146;1655061406;0.2
M146;1655061437;0.2
M146;1655061473;0.2
M146;1655061516;0.2
M146;1655061562;0.2
M146;1655061619;0.2
M146;1655061695;0.2
M146;1655061756;0.2
M146;1655061806;0.2
M146;1655061858;0.2
M146;1655061917;0.2
M146;1655061967;0.2
M146;1655062018;0.2
M146;1655062064;0.2
M146;1655062124;0.2
M146;1655062211;0.2
M146;1655062335;0.2
M146;1655062590;0.2
M146;1655084760;0.2
M146;1655084910;0.2
M146;1655085166;0.2
M146;1655085837;0.2
M146;1655111234;0.2
M146;1655111630;0.2
M146;1655112615;0.2
M146;1655112881;0.2
M146;1655113079;0.2
M146;1655113357;0.2
M146;1655382140;0.2
M146;1655384363;0.2
M146;1655440904;0.2
M146;1655441115;0.2
M146;1655442396;0.2
M146;1655469038;0.2
M146;1655469109;0.2
M146;1655469454;0.2
M146;1655473685;0.2
M146;1655473704;0.2
M146;1655473725;0.2
M146;1655473746;0.2
M146;1655473774;0.2
M146;1655473811;0.2
M146;1655473856;0.2
M146;1655473978;0.2
M146;1655474226;0.2
M146;1655475084;0.2
M146;1655475093;0.2
M146;1655475102;0.2
M146;1655475111;0.2
M146;1655475121;0.2
M146;1655475134;0.2
M146;1655475149;0.2
M146;1655475181;0.2
M146;1655475240;0.2
M146;1655475264;0.2
M146;1655475293;0.2
M146;1655475328;0.2
M146;1655475347;0.2
M146;1655475358;0.2
M146;1655475373;0.2
M146;1655475382;0.2
M146;1655475392;0.2
M146;1655475402;0.2
M146;1655475412;0.2
M146;1655475420;0.2
M146;1655475428;0.2
M146;1655475437;0.2
M146;1655475446;0.2
M146;1655475455;0.2
M146;1655475461;0.2
M146;1655475468;0.2
M146;1655475476;0.2
M146;1655475483;0.2
M146;1655475489;0.2
M146;1655475496;0.2
M146;1655475503;0.2
M146;1655475510;0.2
M146;1655475516;0.2
M146;1655475523;0.2
M146;1655475533;0.2
M146;1655475547;0.2
M146;1655475557;0.2
M146;1655475566;0.2
M146;1655475574;0.2
M146;1655475583;0.2
M146;1655475591;0.2
M146;1655475601;0.2
M146;1655475612;0.2
M146;1655475628;0.2
M146;1655475645;0.2
M146;1655475671;0.2
M146;1655475714;0.2
M146;1655475840;0.2
M146;1655475936;0.2
M146;1655477613;0.2
M146;1655477662;0.2
M146;1655477693;0.2
M146;1655477727;0.2
M146;1655477747;0.2
M146;1655477769;0.2
M146;1655477797;0.2
M146;1655477836;0.2
M146;1655477867;0.2
M146;1655477896;0.2
M146;1655477922;0.2
M146;1655477938;0.2
M146;1655477949;0.2
M146;1655477958;0.2
M146;1655477967;0.2
M146;1655477974;0.2
M146;1655477982;0.2
M146;1655477990;0.2
M146;1655477998;0.2
M146;1655478005;0.2
M146;1655478014;0.2
M146;1655478022;0.2
M146;1655478031;0.2
M146;1655478040;0.2
M146;1655478049;0.2
